BRCA1,BRCA2,TP53,ERBB2,ESR1,PGR,MYC,PIK3CA,PTEN,EGFR,AKT1,CCND1,CDH1,RB1,CDKN2A,MDM2,KRAS,BRAF,ATM,CHEK2,MKI67,BCL2,BAX,VEGFA,label
8.7406,5.6557,10.006,14.8636,14.9442,10.4933,10.5133,9.271,11.228,5.8411,11.8184,13.8926,13.5345,10.1841,6.6313,12.2325,10.9106,7.7217,8.4752,8.0039,9.9129,12.9581,8.5935,10.1854,Cancer
8.8503,7.415,10.9486,17.2223,13.6348,10.4475,10.1796,9.0686,10.8771,7.463,12.5787,14.4576,13.4664,10.3281,7.118,11.4559,11.2861,7.5421,9.8498,7.5069,11.6599,9.095,9.2034,9.5086,Cancer
9.7691,9.684,12.1753,12.5113,7.2774,3.7302,12.4783,9.5636,10.6407,9.344,11.3793,13.7355,13.1465,10.7835,9.9567,11.6071,11.6609,7.3638,10.7225,9.2683,12.592,7.3898,8.6361,11.5941,Cancer
6.5967,4.0462,11.0767,13.7706,10.2512,11.4124,11.9333,8.9552,11.0416,9.0881,12.2335,11.7561,13.925,9.3979,5.9276,9.9323,9.2607,7.2074,8.7785,6.9931,7.9517,10.4536,8.2197,10.5655,Normal
8.2976,6.8853,10.958,12.5962,13.6442,6.168,10.844,8.8623,10.5931,6.8853,11.6493,13.3266,14.6928,10.4965,7.2211,11.4518,10.2562,7.2486,8.9664,7.7331,9.6424,11.8563,9.2438,11.2192,Cancer
8.236,7.1915,11.2932,12.251,10.7489,10.9366,13.4264,9.626,11.3568,11.199,11.2944,12.6506,13.5102,10.5575,4.7739,10.7407,9.6625,8.1521,11.1535,7.5727,8.1603,10.9753,8.0997,10.244,Normal
6.9427,5.1692,9.8941,11.6885,11.4798,9.6471,10.8985,10.4155,11.9181,11.2382,11.7096,10.9333,12.3605,10.7228,7.361,11.066,9.4907,8.2064,10.7563,6.0503,5.8082,11.3124,7.732,11.1747,Normal
8.2019,7.2831,11.131,12.3776,10.6886,11.5448,12.1154,9.7899,11.4422,11.1001,11.1569,11.7405,13.1926,11.0239,3.8144,10.7555,10.0037,7.9652,11.0506,7.0636,8.909,10.8337,8.2463,10.2579,Normal
9.7014,6.4834,9.5975,12.0094,6.0918,4.2376,13.4802,9.14,10.6174,6.8559,11.433,12.1177,12.3246,10.2217,11.2577,11.3188,10.19,6.5634,10.0095,8.0962,13.4537,8.7068,10.2791,11.3534,Cancer
7.9756,6.0381,11.6123,11.5162,13.0262,10.3056,9.8346,8.5849,11.7179,7.6788,12.2411,10.8304,9.2724,10.4081,7.0583,11.102,10.5736,7.3268,9.5754,8.105,10.906,10.507,9.5622,9.2572,Cancer
8.8914,7.0726,10.4803,13.1849,12.1075,12.8076,11.0705,9.2119,10.849,9.1796,11.759,13.7078,13.3517,10.2059,6.6351,11.0828,10.3438,7.9241,9.6236,7.8354,10.9371,11.0156,9.1056,9.9172,Cancer
7.9222,6.7962,10.8445,13.82,12.7474,13.0552,11.6534,8.6627,10.6078,8.6159,12.4225,12.641,13.249,10.0,6.5423,10.7144,10.483,7.5215,10.1794,7.3064,9.1571,10.7358,9.3502,11.511,Cancer
7.8559,6.3348,10.2975,12.4496,12.3745,11.4353,12.1368,9.644,11.1324,10.8709,11.6639,12.3252,13.2938,10.3142,7.6645,11.0724,9.9955,7.7075,10.584,7.6133,8.9412,11.2886,8.5161,9.9584,Normal
10.3418,5.7267,7.9888,11.0207,2.955,3.1364,11.5601,7.0828,11.1065,5.6392,12.0011,11.0386,11.2562,7.3029,12.7193,10.7909,9.7815,6.1098,7.5021,9.4604,11.6403,9.2586,10.0261,10.6204,Cancer
8.8276,3.884,10.0666,15.2271,2.2842,3.5549,10.5344,6.6428,10.0094,5.5684,12.1495,11.5936,13.3568,8.6613,10.2352,9.3605,8.906,5.6448,8.2713,8.216,9.8993,6.1864,9.8315,11.1305,Cancer
9.1101,7.6191,10.0176,13.3154,15.5552,5.0361,11.8373,9.1553,10.522,4.928,11.9549,17.2952,8.8859,10.2165,6.9365,11.9742,9.7621,7.4535,10.1264,7.5215,11.6183,12.3922,8.9466,11.3533,Cancer
7.527,4.5383,9.3482,8.9653,9.7364,8.3552,11.8095,11.0793,11.9513,11.4856,11.7572,11.2201,7.6756,10.5429,3.508,10.5325,9.4045,8.1579,10.2512,6.0573,5.3842,11.4575,7.1136,10.8573,Normal
6.3241,4.2744,10.9123,12.9543,11.4064,11.0876,12.1257,7.8771,10.6284,7.7213,12.1612,11.9652,12.8569,9.2063,6.7692,10.4006,8.832,6.1108,8.9474,7.4922,5.532,10.3631,9.8912,10.0026,Normal
8.766,7.8778,10.2495,13.0253,13.3825,7.2032,11.5016,8.8909,10.8576,6.0262,11.6641,12.8012,12.7296,10.0434,6.4376,10.3651,9.9791,6.5386,9.4742,6.5231,10.3026,11.1768,9.5217,10.2005,Cancer
